month,revenue,transactions,prev_month_revenue,growth_rate
1,2647665.79,835,,
2,2206883.72,730,2647665.79,-16.64794973991033
3,2667413.85,853,2206883.72,20.86789284937948
4,2653248.7599999993,841,2667413.85,-0.5310420803281344
5,2746921.4600000004,894,2653248.7599999993,3.530490672876114
6,2405547.73,789,2746921.4600000004,-12.427502386617213
7,2407197.5299999993,826,2405547.73,0.06858313303969853
8,2606849.2699999996,856,2407197.5299999993,8.293949188291178
9,2518516.12,808,2606849.2699999996,-3.388502396995107
10,2747662.47,858,2518516.12,9.098466679657388
11,2525081.09,823,2747662.47,-8.100754092987279
12,2646568.55,887,2525081.09,4.811230042517168
